Date,Event_Type,Actual,Consensus,Previous
2021-08-01,CPI,5.181323173271246,5.269167647240969,5.269167647240969
2021-08-01,NFP,487.0,931.0,796.0
2021-09-01,CPI,5.363523425270289,5.181323173271246,5.181323173271246
2021-09-01,NFP,466.0,487.0,931.0
2021-10-01,NFP,857.0,466.0,487.0
2021-10-01,CPI,6.226591220771449,5.363523425270289,5.363523425270289
2021-11-01,NFP,637.0,857.0,466.0
2021-11-01,CPI,6.865559520296194,6.226591220771449,6.226591220771449
2021-12-01,NFP,575.0,637.0,857.0
2021-12-01,CPI,7.159457345112474,6.865559520296194,6.865559520296194
2022-01-01,CPI,7.578082463000535,7.159457345112474,7.159457345112474
2022-01-01,NFP,225.0,575.0,637.0
2022-02-01,NFP,869.0,225.0,575.0
2022-02-01,CPI,7.949220898953979,7.578082463000535,7.578082463000535
2022-03-01,CPI,8.540780148538584,7.949220898953979,7.949220898953979
2022-03-01,NFP,471.0,869.0,225.0
2022-04-01,CPI,8.235161744022502,8.540780148538584,8.540780148538584
2022-04-01,NFP,305.0,471.0,869.0
2022-05-01,CPI,8.530051713089225,8.235161744022502,8.235161744022502
2022-05-01,NFP,241.0,305.0,471.0
2022-06-01,CPI,8.999298141923106,8.530051713089225,8.530051713089225
2022-06-01,NFP,461.0,241.0,305.0
2022-07-01,NFP,696.0,461.0,241.0
2022-07-01,CPI,8.447778206754553,8.999298141923106,8.999298141923106
2022-08-01,CPI,8.216255059541266,8.447778206754553,8.447778206754553
2022-08-01,NFP,237.0,696.0,461.0
2022-09-01,CPI,8.205751582451759,8.216255059541266,8.216255059541266
2022-09-01,NFP,227.0,237.0,696.0
2022-10-01,NFP,400.0,227.0,237.0
2022-10-01,CPI,7.757261470809462,8.205751582451759,8.205751582451759
2022-11-01,NFP,297.0,400.0,227.0
2022-11-01,CPI,7.131380368978291,7.757261470809462,7.757261470809462
2022-12-01,NFP,126.0,297.0,400.0
2022-12-01,CPI,6.410831677385809,7.131380368978291,7.131380368978291
2023-01-01,CPI,6.340296309929161,6.410831677385809,6.410831677385809
2023-01-01,NFP,444.0,126.0,297.0
2023-02-01,NFP,306.0,444.0,126.0
2023-02-01,CPI,5.957648712766894,6.340296309929161,6.340296309929161
2023-03-01,CPI,4.931348641757127,5.957648712766894,5.957648712766894
2023-03-01,NFP,85.0,306.0,444.0
2023-04-01,CPI,4.946947488062325,4.931348641757127,4.931348641757127
2023-04-01,NFP,216.0,85.0,306.0
2023-05-01,CPI,4.125314539356473,4.946947488062325,4.946947488062325
2023-05-01,NFP,227.0,216.0,85.0
2023-06-01,CPI,3.0592533347792994,4.125314539356473,4.125314539356473
2023-06-01,NFP,257.0,227.0,216.0
2023-07-01,NFP,148.0,257.0,227.0
2023-07-01,CPI,3.28032820234625,3.0592533347792994,3.0592533347792994
2023-08-01,NFP,157.0,148.0,257.0
2023-08-01,CPI,3.7186358677607556,3.28032820234625,3.28032820234625
2023-09-01,CPI,3.6950823322234427,3.7186358677607556,3.7186358677607556
2023-09-01,NFP,158.0,157.0,148.0
2023-10-01,CPI,3.2465375076767167,3.6950823322234427,3.6950823322234427
2023-10-01,NFP,186.0,158.0,157.0
2023-11-01,CPI,3.139855644977696,3.2465375076767167,3.2465375076767167
2023-11-01,NFP,141.0,186.0,158.0
2023-12-01,CPI,3.322200208829762,3.139855644977696,3.139855644977696
2023-12-01,NFP,269.0,141.0,186.0
2024-01-01,NFP,119.0,269.0,141.0
2024-01-01,CPI,3.1079425939238847,3.322200208829762,3.322200208829762
2024-02-01,NFP,222.0,119.0,269.0
2024-02-01,CPI,3.16642120765831,3.1079425939238847,3.1079425939238847
2024-03-01,NFP,246.0,222.0,119.0
2024-03-01,CPI,3.4690014354717524,3.16642120765831,3.16642120765831
2024-04-01,NFP,118.0,246.0,222.0
2024-04-01,CPI,3.3540471111874304,3.4690014354717524,3.4690014354717524
2024-05-01,CPI,3.238866396761142,3.3540471111874304,3.3540471111874304
2024-05-01,NFP,193.0,118.0,246.0
2024-06-01,CPI,2.9700853998204435,3.238866396761142,3.238866396761142
2024-06-01,NFP,87.0,193.0,118.0
2024-07-01,CPI,2.9384633061405374,2.9700853998204435,2.9700853998204435
2024-07-01,NFP,88.0,87.0,193.0
2024-08-01,CPI,2.6109140322338353,2.9384633061405374,2.9384633061405374
2024-08-01,NFP,71.0,88.0,87.0
2024-09-01,CPI,2.432541464144644,2.6109140322338353,2.6109140322338353
2024-09-01,NFP,240.0,71.0,88.0
2024-10-01,NFP,44.0,240.0,71.0
2024-10-01,CPI,2.5714034967967203,2.432541464144644,2.432541464144644
2024-11-01,CPI,2.7141684004842848,2.5714034967967203,2.5714034967967203
2024-11-01,NFP,261.0,44.0,240.0
